City	Population	Average House Price	Residential Tax Rate	% Days Sunshine	Median Family Income	Median Income	Median Age	Density per Square km	Unemployment Rate	Homicide Rate	Commodity Price Index
Edmonton	730375	430770	8.0129	50	87930	27734	36	1186.8	4.9	3.1	100
Calgary	988195	458000	6.1029	52	89490	30542	36.4	1329	4.1	1.75	100.1
Red Deer	98985	402352	6.2286	47	75553	29027	34.7	868.4	4.4	2.48	98.6
Canmore	12288	889063	5.16698	41	88040	30512	39.9	178.4	2.4		111.9
Lethbridge	89074	249215	13.461	54	62648	24514	37.4	682.6	4.4	1.43	95.9
St. Albert	61466	531890	10.2769	50	98401	36135	40.2	1273.4	3.8	0	100
Wood Buffalo	70964	605013	1.8063	44	169790	42999	31.7	1024.8	4.2	2.34	111.7
Medicine Hat	60005	278584	8.67	55	66625	26508	39.8	535.7	4		95.7
Grande Prairie	55032	307619	2.8	46	83832	32448	30.3	755.9	3.6		101.1
